,name,link,Academics,Value,Diversity,Campus,Athletics,Party_Scene,Professors,Location,Dorms,Campus_Food,Student_Life,Safety,des,street,city,state,zip,Accept_Rate,SAT,ACT,Application_fee,Price_per_year,major_rank,Acceptance Rate,Total_Applicants,SAT Range,SAT Reading,SAT Math,Students Submitting SAT
101,University of Massachusetts - Amherst,https://www.niche.com/colleges/university-of-massachusetts---amherst/,A,A,A,A,A-,A+,A,B+,B,A+,A+,B,"UMass is a highly rated public university located in Amherst Center, Massachusetts in the Springfield, MA Area. It is a large institution with an enrollment of 21,577 undergraduate students. Admissions is fairly competitive as the UMass acceptance rate is 58%. Popular majors include Psychology, Liberal Arts and Humanities, and Economics. Graduating 77% of students, UMass alumni go on to earn a starting salary of $38,800.",374 Whitmore Building 181 Presidents Drive,Amherst,MA,1003,58%,1180-1360,26-31,$80 ,"$21,281 ",Psychology; Liberal Arts and Humanities; Economics; Communications; Public Health; Finance; Biology; Political Science and Government; Exercise Physiology; Computer Science; ,58%,"42,043",1180-1360,590-670,590-690,85%
102,Wabash College,https://www.niche.com/colleges/wabash-college/,A,A,A-,B+,NG,B,A,C+,A,B+,A,B,"Wabash is a highly rated private college located in Crawfordsville, Indiana. It is a small institution with an enrollment of 864 undergraduate students. Admissions is somewhat competitive as the Wabash acceptance rate is 63%. Popular majors include Mathematics, Economics, and Biology. Graduating 77% of students, Wabash alumni go on to earn a starting salary of $40,600.",301 West Wabash Avenue,Crawfordsville,IN,47933,63%,1070-1280,23-28,$50 ,"$24,603 ",Mathematics; Economics; Biology; Political Science and Government; Rhetoric and Composition; History; Research and Experimental Psychology; Spanish Language and Literature; Chemistry; Physics; ,63%,"1,304",1070-1280,530-630,540-650,77%
103,Denison University,https://www.niche.com/colleges/denison-university/,A,A,A,B-,B,B,A-,C+,C+,C-,B,A,"Denison is a highly rated private university located in Granville, Ohio. It is a small institution with an enrollment of 2,319 undergraduate students. Admissions is fairly competitive as the Denison acceptance rate is 37%. Popular majors include Economics, Communications, and Psychology. Graduating 86% of students, Denison alumni go on to earn a starting salary of $35,400.",100 W College Street,Granville,OH,43023,37%,1200-1380,28-31,$0 ,"$32,290 ",Economics; Communications; Psychology; Biology; Political Science and Government; Sociology; Environmental Science; Education; Professional and Technical Writing; Spanish Language and Literature; ,37%,"7,540",1200-1380,600-690,600-690,35%
104,Gustavus Adolphus College,https://www.niche.com/colleges/gustavus-adolphus-college/,A,A+,A-,A-,B,B,A,C+,B+,A+,A-,B-,"Gustavus is a highly rated private, Christian college located in St. Peter, Minnesota. It is a small institution with an enrollment of 2,150 undergraduate students. Admissions is somewhat competitive as the Gustavus acceptance rate is 68%. Popular majors include Business, Psychology, and Biology. Graduating 80% of students, Gustavus alumni go on to earn a starting salary of $38,800.",800 West College Avenue,Saint Peter,MN,56082,68%,1080-1340,26-30,$0 ,"$29,894 ",Business; Psychology; Biology; Communications; Nursing; Accounting; Economics; Chemistry; Physical Education Teaching and Coaching; English; ,68%,"4,834",1080-1340,570-700,570-670,6%
105,Bentley University,https://www.niche.com/colleges/bentley-university/,A-,A+,A-,B-,B+,A-,B,B+,A-,D+,A-,B+,"Bentley is a highly rated private university located in Waltham, Massachusetts in the Boston Area. It is a small institution with an enrollment of 4,171 undergraduate students. Admissions is fairly competitive as the Bentley acceptance rate is 44%. Popular majors include Accounting, Finance, and Business Support Services. Graduating 91% of students, Bentley alumni go on to earn a starting salary of $62,200.",175 Forest St,Waltham,MA,2452,44%,1210-1380,27-31,$50 ,"$36,613 ",Accounting; Finance; Business Support Services; Marketing; Business; Liberal Arts and Humanities; Managerial Economics; Information Science; Corporate Communications; Actuarial Science; ,44%,"8,867",1210-1380,590-670,620-710,66%
106,Auburn University,https://www.niche.com/colleges/auburn-university/,A-,A,A-,A,A+,A,A,B+,B,A,A+,B,"Auburn is a highly rated public university located in Auburn, Alabama. It is a large institution with an enrollment of 21,762 undergraduate students. The Auburn acceptance rate is 84%. Popular majors include Biomedical Sciences and Molecular Medicine, Business, and Accounting. Graduating 77% of students, Auburn alumni go on to earn a starting salary of $37,500.","Auburn, Alabama",Auburn,AL,36849,84%,1130-1310,24-30,$50 ,"$22,613 ",Biomedical Sciences and Molecular Medicine; Business; Accounting; Finance; Exercise Physiology; Mechanical Engineering; Marketing; Nursing; Logistics and Supply Chain Management; Communications; ,84%,"18,072",1130-1310,570-650,560-660,12%
107,Oberlin College,https://www.niche.com/colleges/oberlin-college/,A+,A-,A,B-,B-,C,A,C,C+,B,B,C+,"Oberlin is a highly rated private college located in Oberlin, Ohio in the Cleveland Area. It is a small institution with an enrollment of 2,790 undergraduate students. Admissions is fairly competitive as the Oberlin acceptance rate is 34%. Popular majors include Music Performance, Biology, and Political Science and Government. Graduating 86% of students, Oberlin alumni go on to earn a starting salary of $26,400.",70 N Professor St,Oberlin,OH,44074,34%,1280-1450,28-33,$0 ,"$39,794 ",Music Performance; Biology; Political Science and Government; Environmental Science; History; Economics; English; Psychology; Neuroscience and Neurobiology; Music; ,34%,"7,762",1280-1450,650-720,630-730,54%
108,James Madison University,https://www.niche.com/colleges/james-madison-university/,B+,A+,A-,A+,A,A+,A-,B,B+,A+,A+,B,"James Madison is a highly rated public university located in Harrisonburg, Virginia. It is a large institution with an enrollment of 18,905 undergraduate students. Admissions is somewhat competitive as the James Madison acceptance rate is 75%. Popular majors include Community Health Services and Counseling, Communications, and Liberal Arts and Humanities. Graduating 83% of students, James Madison alumni go on to earn a starting salary of $42,400.",800 South Main Street,Harrisonburg,VA,22807,75%,1100-1260,23-28,$70 ,"$16,154 ",Community Health Services and Counseling; Communications; Liberal Arts and Humanities; Nursing; Psychology; Information Science; Biology; Finance; Marketing; Sport and Fitness Management; ,75%,"21,100",1100-1260,560-640,540-620,87%
109,Pepperdine University,https://www.niche.com/colleges/pepperdine-university/,A,A,A,B,B,C+,A-,C,B,B,B+,B+,"Pepperdine is a highly rated private, Christian university located in California. It is a small institution with an enrollment of 3,300 undergraduate students. Admissions is fairly competitive as the Pepperdine acceptance rate is 40%. Popular majors include Business, Psychology, and Public Relations. Graduating 85% of students, Pepperdine alumni go on to earn a starting salary of $45,300.",24255 Pacific Coast Hwy,Malibu,CA,90263,40%,1200-1390,26-31,$65 ,"$36,372 ",Business; Psychology; Public Relations; Kinesiology and Exercise Science; Economics; Advertising; International Studies; Political Science and Government; Biology; International Business; ,40%,"11,704",1200-1390,600-690,600-700,60%
110,Saint Louis University,https://www.niche.com/colleges/saint-louis-university/,A,A,A-,B,B+,B+,A+,A-,B-,B,A-,C+,"Saint Louis is a highly rated private, Catholic university located in St. Louis, Missouri. It is a mid-size institution with an enrollment of 6,625 undergraduate students. Admissions is somewhat competitive as the Saint Louis acceptance rate is 64%. Popular majors include Business, Nursing, and Kinesiology and Exercise Science. Graduating 77% of students, Saint Louis alumni go on to earn a starting salary of $43,300.",1 N. Grand Blvd.,St. Louis,MO,63103,64%,1170-1390,25-31,$0 ,"$31,718 ",Business; Nursing; Kinesiology and Exercise Science; Biology; Psychology; Public Health; Communications; Healthcare Management; Occupational Therapy; Bioengineering and Biomedical Engineering; ,64%,"13,431",1170-1390,590-690,580-700,13%
111,University of Portland,https://www.niche.com/colleges/university-of-portland/,A-,A,A,A-,A-,B,A-,A,B+,A,A,B+,"University of Portland is a highly rated private, Catholic university located in Portland, Oregon. It is a small institution with an enrollment of 3,792 undergraduate students. Admissions is somewhat competitive as the University of Portland acceptance rate is 70%. Popular majors include Nursing, Biology, and Psychology. Graduating 82% of students, University of Portland alumni go on to earn a starting salary of $50,700.",5000 N Willamette Blvd,Portland,OR,97203,70%,1140-1320,23-29,$50 ,"$33,327 ",Nursing; Biology; Psychology; Computational and Applied Mathematics; Marketing; Mechanical Engineering; Spanish Language and Literature; Management Sciences and Information Systems; Civil Engineering; Computer Science; ,70%,"11,137",1140-1320,580-660,560-660,70%
112,University of Oklahoma,https://www.niche.com/colleges/university-of-oklahoma/,A,A-,A,A,A+,A,A-,B,B-,A,A+,B,"Oklahoma is a highly rated public university located in Oklahoma. It is a large institution with an enrollment of 19,065 undergraduate students. Admissions is somewhat competitive as the Oklahoma acceptance rate is 74%. Popular majors include Liberal Arts and Humanities, Organizational Behavior Studies, and Finance. Graduating 67% of students, Oklahoma alumni go on to earn a starting salary of $39,800.",660 Parrington Oval,Norman,OK,73069,74%,1150-1380,23-29,$40 ,"$20,003 ",Liberal Arts and Humanities; Organizational Behavior Studies; Finance; Journalism; Mining and Petroleum Engineering; Marketing; Psychology; Kinesiology and Exercise Science; Communications; Zoology and Entomology; ,74%,"15,579",1150-1380,580-690,570-690,28%
113,University of Denver,https://www.niche.com/colleges/university-of-denver/,A,A,A,A-,A-,A,A,A,B,B,A,C+,"University of Denver is a highly rated private university located in Denver, Colorado. It is a mid-size institution with an enrollment of 5,494 undergraduate students. Admissions is fairly competitive as the University of Denver acceptance rate is 58%. Popular majors include Finance, Psychology, and International Relations. Graduating 75% of students, University of Denver alumni go on to earn a starting salary of $44,900.",2199 S. University Blvd,Denver,CO,80208,58%,1160-1350,25-30,$65 ,"$35,163 ",Finance; Psychology; International Relations; Marketing; Communications; Biology; English; Accounting; Political Science and Government; Economics; ,58%,"19,904",1160-1350,590-680,570-670,33%
114,University of San Diego,https://www.niche.com/colleges/university-of-san-diego/,A,A,A,A+,B+,B+,A-,A,A,A+,A-,B,"USD is a highly rated private, Catholic university located in San Diego, California. It is a mid-size institution with an enrollment of 5,605 undergraduate students. Admissions is fairly competitive as the USD acceptance rate is 50%. Popular majors include Finance, Business, and Marketing. Graduating 82% of students, USD alumni go on to earn a starting salary of $48,300.",5998 Alcala Park,San Diego,CA,92110,50%,1180-1350,26-30,$55 ,"$38,592 ",Finance; Business; Marketing; Communications; Accounting; Biology; Psychology; Neuroscience and Neurobiology; English; Mechanical Engineering; ,50%,"14,739",1180-1350,590-670,590-680,49%
115,Oklahoma State University,https://www.niche.com/colleges/oklahoma-state-university/,A-,A,A,A,A+,A,A,B-,B,A-,A+,B,"Oklahoma State is a highly rated public university located in Stillwater, Oklahoma. It is a large institution with an enrollment of 18,221 undergraduate students. Admissions is somewhat competitive as the Oklahoma State acceptance rate is 74%. Popular majors include Business, Marketing, and Liberal Arts and Humanities. Graduating 62% of students, Oklahoma State alumni go on to earn a starting salary of $36,900.",107 Whitehurst,Stillwater,OK,74078,74%,1070-1260,22-28,$40 ,"$14,513 ",Business; Marketing; Liberal Arts and Humanities; Finance; Mechanical Engineering; Animal Sciences and Husbandry; Accounting; Psychology; Information Technology; Public Relations; ,74%,"13,635",1070-1260,540-630,530-630,21%
116,Washington State University,https://www.niche.com/colleges/washington-state-university/,A-,A,A,A-,A+,A+,A+,B,B,B+,A+,B,"Washington State is a highly rated public university located in Pullman, Washington. It is a large institution with an enrollment of 22,166 undergraduate students. Admissions is somewhat competitive as the Washington State acceptance rate is 73%. Popular majors include Psychology, Social Science Research Methods, and Nursing. Graduating 62% of students, Washington State alumni go on to earn a starting salary of $38,700.",French Administration Building,Pullman,WA,99164,73%,1020-1220,20-26,$50 ,"$17,885 ",Psychology; Social Science Research Methods; Nursing; Communications; Human Development; Mechanical Engineering; Hospitality and Tourism Management; Accounting; Police and Criminal Science; Elementary Education; ,73%,"22,565",1020-1220,510-610,510-610,78%
